 iy  im   date    soi
  1866   1  1866.042      -0.2
  1866   2  1866.125       0.3
  1866   3  1866.208      -0.1
  1866   4  1866.292      -0.7
  1866   5  1866.375      -0.5
  1866   6  1866.458      -0.7
  1866   7  1866.542      -0.8
  1866   8  1866.625       0.5
  1866   9  1866.708      -0.0
  1866  10  1866.792       0.4
  1866  11  1866.875       1.0
  1866  12  1866.958      -0.1
  1867   1  1867.042       0.8
  1867   2  1867.125       0.5
  1867   3  1867.208       0.6
  1867   4  1867.292       0.2
  1867   5  1867.375      -0.1
  1867   6  1867.458      -0.6
  1867   7  1867.542      -0.1
  1867   8  1867.625       0.3
  1867   9  1867.708       0.2
  1867  10  1867.792      -0.3
  1867  11  1867.875      -0.4
  1867  12  1867.958      -0.9
  1868   1  1868.042       0.0
  1868   2  1868.125       0.2
  1868   3  1868.208      -1.1
  1868   4  1868.292      -0.1
  1868   5  1868.375      -1.4
  1868   6  1868.458      -1.5
  1868   7  1868.542      -0.8
  1868   8  1868.625      -1.1
  1868   9  1868.708      -1.0
  1868  10  1868.792      -0.7
  1868  11  1868.875      -1.2
  1868  12  1868.958       0.7
  1869   1  1869.042      -1.8
  1869   2  1869.125       0.3
  1869   3  1869.208       0.3
  1869   4  1869.292       0.7
  1869   5  1869.375       0.5
  1869   6  1869.458       0.4
  1869   7  1869.542       0.8
  1869   8  1869.625       0.6
  1869   9  1869.708       0.2
  1869  10  1869.792       1.0
  1869  11  1869.875       0.4
  1869  12  1869.958       0.2
  1870   1  1870.042       1.0
  1870   2  1870.125       0.6
  1870   3  1870.208      -0.1
  1870   4  1870.292      -0.0
  1870   5  1870.375      -0.5
  1870   6  1870.458      -0.9
  1870   7  1870.542      -0.4
  1870   8  1870.625       0.7
  1870   9  1870.708       0.2
  1870  10  1870.792      -0.1
  1870  11  1870.875      -0.8
  1870  12  1870.958      -1.1
  1871   1  1871.042      -1.0
  1871   2  1871.125       0.5
  1871   3  1871.208      -1.3
  1871   4  1871.292      -0.6
  1871   5  1871.375      -0.8
  1871   6  1871.458      -0.2
  1871   7  1871.542      -0.2
  1871   8  1871.625       0.5
  1871   9  1871.708       0.8
  1871  10  1871.792       0.2
  1871  11  1871.875      -0.1
  1871  12  1871.958       1.1
  1872   1  1872.042       3.0
  1872   2  1872.125       1.7
  1872   3  1872.208       1.7
  1872   4  1872.292      -0.5
  1872   5  1872.375       0.4
  1872   6  1872.458       0.8
  1872   7  1872.542       1.3
  1872   8  1872.625       0.7
  1872   9  1872.708       3.2
  1872  10  1872.792       1.9
  1872  11  1872.875       2.6
  1872  12  1872.958       2.5
  1873   1  1873.042       2.9
  1873   2  1873.125       2.1
  1873   3  1873.208       2.4
  1873   4  1873.292       1.1
  1873   5  1873.375       0.4
  1873   6  1873.458      -1.6
  1873   7  1873.542      -1.1
  1873   8  1873.625      -0.2
  1873   9  1873.708      -1.4
  1873  10  1873.792      -1.2
  1873  11  1873.875      -0.3
  1873  12  1873.958       1.0
  1874   1  1874.042       1.4
  1874   2  1874.125       0.5
  1874   3  1874.208       0.3
  1874   4  1874.292       0.2
  1874   5  1874.375       0.4
  1874   6  1874.458      -1.4
  1874   7  1874.542      -0.6
  1874   8  1874.625       0.9
  1874   9  1874.708       2.2
  1874  10  1874.792       2.2
  1874  11  1874.875       0.4
  1874  12  1874.958       0.9
  1875   1  1875.042       1.1
  1875   2  1875.125       0.4
  1875   3  1875.208      -0.2
  1875   4  1875.292       0.5
  1875   5  1875.375       0.0
  1875   6  1875.458       1.0
  1875   7  1875.542      -1.0
  1875   8  1875.625      -0.1
  1875   9  1875.708       0.8
  1875  10  1875.792       0.9
  1875  11  1875.875      -1.4
  1875  12  1875.958      -0.8
  1876   1  1876.042       1.4
  1876   2  1876.125       1.6
  1876   3  1876.208      -0.0
  1876   4  1876.292       0.1
  1876   5  1876.375       0.0
  1876   6  1876.458       0.8
  1876   7  1876.542      -0.7
  1876   8  1876.625       1.2
  1876   9  1876.708       1.2
  1876  10  1876.792      -0.5
  1876  11  1876.875      -0.5
  1876  12  1876.958      -0.2
  1877   1  1877.042      -0.7
  1877   2  1877.125      -1.1
  1877   3  1877.208      -0.8
  1877   4  1877.292      -2.6
  1877   5  1877.375      -1.7
  1877   6  1877.458      -2.7
  1877   7  1877.542      -1.1
  1877   8  1877.625      -0.6
  1877   9  1877.708      -1.2
  1877  10  1877.792      -1.0
  1877  11  1877.875      -1.1
  1877  12  1877.958      -1.4
  1878   1  1878.042      -0.8
  1878   2  1878.125      -1.9
  1878   3  1878.208      -1.5
  1878   4  1878.292      -1.0
  1878   5  1878.375      -0.4
  1878   6  1878.458      -0.7
  1878   7  1878.542       0.8
  1878   8  1878.625       1.3
  1878   9  1878.708       1.7
  1878  10  1878.792       1.1
  1878  11  1878.875       1.2
  1878  12  1878.958       1.6
  1879   1  1879.042       1.7
  1879   2  1879.125       2.1
  1879   3  1879.208       1.7
  1879   4  1879.292       0.6
  1879   5  1879.375      -0.4
  1879   6  1879.458       0.7
  1879   7  1879.542       1.4
  1879   8  1879.625       1.9
  1879   9  1879.708       2.0
  1879  10  1879.792       1.7
  1879  11  1879.875       0.5
  1879  12  1879.958      -1.0
  1880   1  1880.042       1.2
  1880   2  1880.125       1.5
  1880   3  1880.208       1.7
  1880   4  1880.292       0.2
  1880   5  1880.375       0.4
  1880   6  1880.458       0.3
  1880   7  1880.542      -0.1
  1880   8  1880.625       1.4
  1880   9  1880.708       1.2
  1880  10  1880.792       1.0
  1880  11  1880.875       0.8
  1880  12  1880.958      -0.2
  1881   1  1881.042      -0.6
  1881   2  1881.125      -0.2
  1881   3  1881.208       0.8
  1881   4  1881.292       0.1
  1881   5  1881.375      -0.9
  1881   6  1881.458      -0.8
  1881   7  1881.542      -0.7
  1881   8  1881.625      -0.9
  1881   9  1881.708      -1.0
  1881  10  1881.792      -1.8
  1881  11  1881.875       0.3
  1881  12  1881.958       0.6
  1882   1  1882.042      -0.7
  1882   2  1882.125       0.2
  1882   3  1882.208       0.8
  1882   4  1882.292      -0.5
  1882   5  1882.375      -0.2
  1882   6  1882.458      -1.5
  1882   7  1882.542      -2.5
  1882   8  1882.625      -2.6
  1882   9  1882.708      -1.4
  1882  10  1882.792       0.2
  1882  11  1882.875       0.2
  1882  12  1882.958       0.8
  1883   1  1883.042       1.3
  1883   2  1883.125      -0.7
  1883   3  1883.208      -2.5
  1883   4  1883.292       0.6
  1883   5  1883.375       0.5
  1883   6  1883.458      -0.1
  1883   7  1883.542      -1.5
  1883   8  1883.625      -0.1
  1883   9  1883.708      -0.8
  1883  10  1883.792       0.6
  1883  11  1883.875      -0.1
  1883  12  1883.958      -2.2
  1884   1  1884.042      -1.2
  1884   2  1884.125      -0.2
  1884   3  1884.208       1.3
  1884   4  1884.292      -1.1
  1884   5  1884.375      -0.3
  1884   6  1884.458       0.3
  1884   7  1884.542      -0.7
  1884   8  1884.625      -0.7
  1884   9  1884.708      -0.4
  1884  10  1884.792       0.7
  1884  11  1884.875      -0.2
  1884  12  1884.958      -1.7
  1885   1  1885.042      -1.7
  1885   2  1885.125       0.6
  1885   3  1885.208       1.1
  1885   4  1885.292      -0.2
  1885   5  1885.375      -0.3
  1885   6  1885.458      -1.3
  1885   7  1885.542      -0.6
  1885   8  1885.625      -0.9
  1885   9  1885.708       0.1
  1885  10  1885.792      -1.2
  1885  11  1885.875      -1.1
  1885  12  1885.958       0.5
  1886   1  1886.042       0.5
  1886   2  1886.125       0.4
  1886   3  1886.208       0.8
  1886   4  1886.292      -0.2
  1886   5  1886.375      -0.0
  1886   6  1886.458      -0.2
  1886   7  1886.542       0.0
  1886   8  1886.625       1.0
  1886   9  1886.708       1.4
  1886  10  1886.792       1.5
  1886  11  1886.875       0.7
  1886  12  1886.958       1.0
  1887   1  1887.042       1.8
  1887   2  1887.125       1.4
  1887   3  1887.208       1.3
  1887   4  1887.292       0.1
  1887   5  1887.375      -0.9
  1887   6  1887.458      -0.0
  1887   7  1887.542       0.1
  1887   8  1887.625       0.3
  1887   9  1887.708       0.8
  1887  10  1887.792       1.0
  1887  11  1887.875      -0.5
  1887  12  1887.958       0.7
  1888   1  1888.042      -0.4
  1888   2  1888.125       0.3
  1888   3  1888.208      -0.6
  1888   4  1888.292      -1.9
  1888   5  1888.375      -1.2
  1888   6  1888.458      -1.5
  1888   7  1888.542      -1.8
  1888   8  1888.625      -0.7
  1888   9  1888.708      -0.7
  1888  10  1888.792      -0.9
  1888  11  1888.875      -1.2
  1888  12  1888.958      -0.1
  1889   1  1889.042      -2.6
  1889   2  1889.125       0.6
  1889   3  1889.208      -2.5
  1889   4  1889.292      -0.3
  1889   5  1889.375      -0.6
  1889   6  1889.458       1.1
  1889   7  1889.542      -0.3
  1889   8  1889.625       0.1
  1889   9  1889.708       1.1
  1889  10  1889.792       0.5
  1889  11  1889.875       1.3
  1889  12  1889.958       2.0
  1890   1  1890.042       2.5
  1890   2  1890.125       1.9
  1890   3  1890.208       1.8
  1890   4  1890.292       0.1
  1890   5  1890.375      -0.2
  1890   6  1890.458      -0.1
  1890   7  1890.542      -0.9
  1890   8  1890.625      -0.5
  1890   9  1890.708       0.8
  1890  10  1890.792       0.5
  1890  11  1890.875       0.1
  1890  12  1890.958      -0.1
  1891   1  1891.042       2.2
  1891   2  1891.125      -0.1
  1891   3  1891.208      -0.6
  1891   4  1891.292       0.2
  1891   5  1891.375      -0.2
  1891   6  1891.458      -0.4
  1891   7  1891.542      -0.8
  1891   8  1891.625      -0.4
  1891   9  1891.708      -0.4
  1891  10  1891.792       0.5
  1891  11  1891.875      -0.3
  1891  12  1891.958      -0.4
  1892   1  1892.042       0.6
  1892   2  1892.125      -0.7
  1892   3  1892.208       1.3
  1892   4  1892.292       0.2
  1892   5  1892.375       0.5
  1892   6  1892.458       0.9
  1892   7  1892.542       0.4
  1892   8  1892.625       0.4
  1892   9  1892.708       0.0
  1892  10  1892.792       0.9
  1892  11  1892.875      -0.9
  1892  12  1892.958       0.2
  1893   1  1893.042       1.4
  1893   2  1893.125       1.3
  1893   3  1893.208       1.0
  1893   4  1893.292       0.5
  1893   5  1893.375       0.8
  1893   6  1893.458       0.9
  1893   7  1893.542       1.2
  1893   8  1893.625       0.9
  1893   9  1893.708       1.4
  1893  10  1893.792       0.8
  1893  11  1893.875       0.8
  1893  12  1893.958      -0.5
  1894   1  1894.042       2.3
  1894   2  1894.125       1.7
  1894   3  1894.208       1.2
  1894   4  1894.292       0.3
  1894   5  1894.375      -1.0
  1894   6  1894.458      -0.2
  1894   7  1894.542       0.2
  1894   8  1894.625      -1.4
  1894   9  1894.708       0.1
  1894  10  1894.792       0.7
  1894  11  1894.875      -0.8
  1894  12  1894.958       0.2
  1895   1  1895.042       0.7
  1895   2  1895.125       1.4
  1895   3  1895.208       0.4
  1895   4  1895.292       0.5
  1895   5  1895.375       0.0
  1895   6  1895.458      -1.0
  1895   7  1895.542      -1.2
  1895   8  1895.625      -1.1
  1895   9  1895.708      -0.4
  1895  10  1895.792      -0.4
  1895  11  1895.875      -0.2
  1895  12  1895.958      -1.0
  1896   1  1896.042       1.0
  1896   2  1896.125       1.6
  1896   3  1896.208       0.2
  1896   4  1896.292      -0.5
  1896   5  1896.375      -2.5
  1896   6  1896.458      -2.1
  1896   7  1896.542      -1.8
  1896   8  1896.625      -1.1
  1896   9  1896.708      -0.9
  1896  10  1896.792      -0.6
  1896  11  1896.875      -0.4
  1896  12  1896.958      -0.8
  1897   1  1897.042      -1.0
  1897   2  1897.125      -0.4
